pOTU,Phylodist,Niche0ver,CladeID
pOTU003_pOTU011,44,0.251092492,NN
pOTU003_pOTU010,44,0.232273384,NN
pOTU003_pOTU051,44,0.047593734,NN
pOTU003_pOTU030,48,0.054971215,NN
pOTU003_pOTU037,48,0.319254137,NN
pOTU003_pOTU040,50,0.488778786,NN
pOTU003_pOTU031,48,0.020197422,NN
pOTU003_pOTU015,48,0.336416449,NN
pOTU003_pOTU014,46,0.014336384,NN
pOTU003_pOTU012,48,0.061624288,NN
pOTU003_pOTU013,46,0.353351685,NN
pOTU003_pOTU006,46,0.134482976,NN
pOTU003_pOTU007,44,0.279931864,NN
pOTU003_pOTU001,48,0.43272313,NN
pOTU002_pOTU047,42,0.591686283,NN
pOTU002_pOTU049,44,0.35225435,NN
pOTU002_pOTU036,48,0.589395124,NN
pOTU002_pOTU022,46,0.793243269,NN
pOTU002_pOTU005,44,0.402180286,NN
pOTU002_pOTU004,42,0.270789652,NN
pOTU002_pOTU003,44,0.503542514,NN
pOTU002_pOTU043,46,0.40841301,NN
pOTU002_pOTU046,52,0.272751353,NN
pOTU002_pOTU045,46,0.200050853,NN
pOTU002_pOTU041,52,0.272904249,NN
pOTU002_pOTU044,46,0.237089748,NN
pOTU002_pOTU042,52,0.186944862,NN
pOTU002_pOTU039,46,0.176520114,NN
pOTU002_pOTU038,52,0.301350725,NN
pOTU002_pOTU034,46,0.348516867,NN
pOTU002_pOTU035,46,0.177401005,NN
pOTU002_pOTU033,46,0.311376599,NN
pOTU002_pOTU025,46,0.317857107,NN
pOTU002_pOTU026,46,0.352573699,NN
pOTU002_pOTU027,52,0.242541474,NN
pOTU002_pOTU019,44,0.384255299,NN
pOTU002_pOTU021,48,0.313427447,NN
pOTU002_pOTU024,46,0.26843973,NN
pOTU002_pOTU052,44,0.189972596,NN
pOTU002_pOTU030,48,0.371726374,NN
pOTU002_pOTU037,48,0.101504477,NN
pOTU002_pOTU040,50,0.206300864,NN
pOTU002_pOTU031,48,0.29241929,NN
pOTU002_pOTU015,48,0.125923172,NN
